# Simulated NCR wholesale prices (PHP/kg) for the last 90 days.
# market,commodity,price_php_per_kg,demand,date
Divisoria,Tomato,61,Dipping,2026-07-11
Mega Q-Mart,Tomato,89,Surging,2026-07-11
Muntinlupa,Tomato,75,Dipping,2026-07-11
Cebu Carbon,Tomato,76,Dipping,2026-07-11
Baguio Public,Tomato,93,Surging,2026-07-11
Davao Bankerohan,Tomato,82,Stable,2026-07-11
Iloilo Terminal,Tomato,83,Stable,2026-07-11
Balintawak,White Potato,70,Dipping,2026-07-11
Divisoria,White Potato,76,Stable,2026-07-11
Mega Q-Mart,White Potato,103,Surging,2026-07-11
Muntinlupa,White Potato,101,Surging,2026-07-11
Cebu Carbon,White Potato,95,Rising,2026-07-11
Baguio Public,White Potato,105,Surging,2026-07-11
Davao Bankerohan,White Potato,88,Dipping,2026-07-11
Iloilo Terminal,White Potato,84,Dipping,2026-07-11
Balintawak,Bell Pepper (Green),155,Stable,2026-07-11
Divisoria,Bell Pepper (Green),139,Dipping,2026-07-11
Mega Q-Mart,Bell Pepper (Green),212,Surging,2026-07-11
Muntinlupa,Bell Pepper (Green),204,Surging,2026-07-11
Cebu Carbon,Bell Pepper (Green),207,Surging,2026-07-11
Baguio Public,Bell Pepper (Green),179,Stable,2026-07-11
Davao Bankerohan,Bell Pepper (Green),197,Rising,2026-07-11
Iloilo Terminal,Bell Pepper (Green),199,Rising,2026-07-11
Balintawak,Cauliflower,143,Surging,2026-07-11
Divisoria,Cauliflower,137,Surging,2026-07-11
Mega Q-Mart,Cauliflower,148,Stable,2026-07-11
Muntinlupa,Cauliflower,170,Surging,2026-07-11
Cebu Carbon,Cauliflower,141,Dipping,2026-07-11
Baguio Public,Cauliflower,176,Surging,2026-07-11
Davao Bankerohan,Cauliflower,148,Stable,2026-07-11
Iloilo Terminal,Cauliflower,156,Stable,2026-07-11
Balintawak,Lettuce (Romaine),112,Surging,2026-07-11
Divisoria,Lettuce (Romaine),108,Surging,2026-07-11
Mega Q-Mart,Lettuce (Romaine),127,Rising,2026-07-11
Muntinlupa,Lettuce (Romaine),126,Rising,2026-07-11
Cebu Carbon,Lettuce (Romaine),124,Rising,2026-07-11
Baguio Public,Lettuce (Romaine),137,Surging,2026-07-11
Davao Bankerohan,Lettuce (Romaine),126,Rising,2026-07-11
Iloilo Terminal,Lettuce (Romaine),114,Dipping,2026-07-11
Balintawak,Mango (Carabao),113,Rising,2026-07-11
Divisoria,Mango (Carabao),115,Rising,2026-07-11
Mega Q-Mart,Mango (Carabao),119,Dipping,2026-07-11
Muntinlupa,Mango (Carabao),136,Rising,2026-07-11
Cebu Carbon,Mango (Carabao),132,Stable,2026-07-11
Baguio Public,Mango (Carabao),130,Stable,2026-07-11
Davao Bankerohan,Mango (Carabao),126,Stable,2026-07-11
Iloilo Terminal,Mango (Carabao),136,Rising,2026-07-11
Balintawak,Rice (Well Milled),47,Rising,2026-07-11
Divisoria,Rice (Well Milled),42,Dipping,2026-07-11
Mega Q-Mart,Rice (Well Milled),56,Stable,2026-07-11
Muntinlupa,Rice (Well Milled),63,Surging,2026-07-11
Cebu Carbon,Rice (Well Milled),60,Rising,2026-07-11
Baguio Public,Rice (Well Milled),64,Surging,2026-07-11
Davao Bankerohan,Rice (Well Milled),53,Dipping,2026-07-11
Iloilo Terminal,Rice (Well Milled),53,Dipping,2026-07-11
Balintawak,Eggplant,57,Rising,2026-07-11
Divisoria,Eggplant,57,Rising,2026-07-11
Mega Q-Mart,Eggplant,68,Rising,2026-07-11
Muntinlupa,Eggplant,74,Surging,2026-07-11
Cebu Carbon,Eggplant,75,Surging,2026-07-11
Baguio Public,Eggplant,62,Dipping,2026-07-11
Davao Bankerohan,Eggplant,71,Surging,2026-07-11
Iloilo Terminal,Eggplant,66,Stable,2026-07-11
Balintawak,Squash,40,Surging,2026-07-11
Divisoria,Squash,39,Surging,2026-07-11
Mega Q-Mart,Squash,50,Surging,2026-07-11
Muntinlupa,Squash,44,Rising,2026-07-11
Cebu Carbon,Squash,40,Dipping,2026-07-11
Baguio Public,Squash,41,Dipping,2026-07-11
Davao Bankerohan,Squash,45,Rising,2026-07-11
Iloilo Terminal,Squash,44,Stable,2026-07-11
Balintawak,Ampalaya,75,Surging,2026-07-11
Divisoria,Ampalaya,63,Dipping,2026-07-11
Mega Q-Mart,Ampalaya,85,Rising,2026-07-11
Muntinlupa,Ampalaya,80,Stable,2026-07-11
Cebu Carbon,Ampalaya,80,Stable,2026-07-11
Baguio Public,Ampalaya,89,Surging,2026-07-11
Davao Bankerohan,Ampalaya,82,Stable,2026-07-11
Iloilo Terminal,Ampalaya,77,Dipping,2026-07-11
Balintawak,Pechay Baguio,49,Stable,2026-07-10
Divisoria,Pechay Baguio,50,Stable,2026-07-10
Mega Q-Mart,Pechay Baguio,63,Rising,2026-07-10
Muntinlupa,Pechay Baguio,66,Surging,2026-07-10
Cebu Carbon,Pechay Baguio,59,Stable,2026-07-10
Baguio Public,Pechay Baguio,62,Rising,2026-07-10
Davao Bankerohan,Pechay Baguio,58,Stable,2026-07-10
Iloilo Terminal,Pechay Baguio,63,Rising,2026-07-10
Balintawak,Cabbage (Scorpio),43,Rising,2026-07-10
Divisoria,Cabbage (Scorpio),46,Surging,2026-07-10
Mega Q-Mart,Cabbage (Scorpio),51,Rising,2026-07-10
Muntinlupa,Cabbage (Scorpio),48,Stable,2026-07-10
Cebu Carbon,Cabbage (Scorpio),45,Dipping,2026-07-10
Baguio Public,Cabbage (Scorpio),55,Surging,2026-07-10
Davao Bankerohan,Cabbage (Scorpio),53,Surging,2026-07-10
Iloilo Terminal,Cabbage (Scorpio),53,Rising,2026-07-10
Balintawak,Carrots,96,Surging,2026-07-10
Divisoria,Carrots,91,Rising,2026-07-10
Mega Q-Mart,Carrots,114,Surging,2026-07-10
Muntinlupa,Carrots,97,Dipping,2026-07-10
Cebu Carbon,Carrots,103,Stable,2026-07-10
Baguio Public,Carrots,113,Surging,2026-07-10
Davao Bankerohan,Carrots,98,Dipping,2026-07-10
Iloilo Terminal,Carrots,94,Dipping,2026-07-10
Balintawak,Broccoli,134,Stable,2026-07-10
Divisoria,Broccoli,136,Stable,2026-07-10
Mega Q-Mart,Broccoli,166,Stable,2026-07-10
Muntinlupa,Broccoli,167,Stable,2026-07-10
Cebu Carbon,Broccoli,160,Stable,2026-07-10
Baguio Public,Broccoli,183,Surging,2026-07-10
Davao Bankerohan,Broccoli,189,Surging,2026-07-10
Iloilo Terminal,Broccoli,172,Rising,2026-07-10
Balintawak,Tomato,60,Dipping,2026-07-10
Divisoria,Tomato,66,Stable,2026-07-10
Mega Q-Mart,Tomato,84,Rising,2026-07-10
Muntinlupa,Tomato,81,Stable,2026-07-10
Cebu Carbon,Tomato,75,Dipping,2026-07-10
Baguio Public,Tomato,81,Stable,2026-07-10
Davao Bankerohan,Tomato,84,Rising,2026-07-10
Iloilo Terminal,Tomato,87,Rising,2026-07-10
Balintawak,White Potato,84,Surging,2026-07-10
Divisoria,White Potato,83,Surging,2026-07-10
Mega Q-Mart,White Potato,100,Rising,2026-07-10
Muntinlupa,White Potato,101,Surging,2026-07-10
Cebu Carbon,White Potato,91,Stable,2026-07-10
Baguio Public,White Potato,91,Stable,2026-07-10
Davao Bankerohan,White Potato,107,Surging,2026-07-10
Iloilo Terminal,White Potato,85,Dipping,2026-07-10
Balintawak,Bell Pepper (Green),158,Rising,2026-07-10
Divisoria,Bell Pepper (Green),151,Stable,2026-07-10
Mega Q-Mart,Bell Pepper (Green),176,Dipping,2026-07-10
Muntinlupa,Bell Pepper (Green),177,Dipping,2026-07-10
Cebu Carbon,Bell Pepper (Green),182,Stable,2026-07-10
Baguio Public,Bell Pepper (Green),214,Surging,2026-07-10
Davao Bankerohan,Bell Pepper (Green),176,Dipping,2026-07-10
Iloilo Terminal,Bell Pepper (Green),179,Stable,2026-07-10
Balintawak,Cauliflower,137,Surging,2026-07-10
Divisoria,Cauliflower,122,Stable,2026-07-10
Mega Q-Mart,Cauliflower,154,Stable,2026-07-10
Muntinlupa,Cauliflower,152,Stable,2026-07-10
Cebu Carbon,Cauliflower,176,Surging,2026-07-10
Baguio Public,Cauliflower,162,Rising,2026-07-10
Davao Bankerohan,Cauliflower,166,Rising,2026-07-10
Iloilo Terminal,Cauliflower,153,Stable,2026-07-10
Balintawak,Lettuce (Romaine),113,Surging,2026-07-10
Divisoria,Lettuce (Romaine),106,Rising,2026-07-10
Mega Q-Mart,Lettuce (Romaine),113,Dipping,2026-07-10
Muntinlupa,Lettuce (Romaine),137,Surging,2026-07-10
Cebu Carbon,Lettuce (Romaine),119,Stable,2026-07-10
Baguio Public,Lettuce (Romaine),117,Stable,2026-07-10
Davao Bankerohan,Lettuce (Romaine),123,Rising,2026-07-10
Iloilo Terminal,Lettuce (Romaine),124,Rising,2026-07-10
Balintawak,Mango (Carabao),105,Stable,2026-07-10
Divisoria,Mango (Carabao),108,Stable,2026-07-10
Mega Q-Mart,Mango (Carabao),139,Rising,2026-07-10
Muntinlupa,Mango (Carabao),131,Stable,2026-07-10
Cebu Carbon,Mango (Carabao),141,Rising,2026-07-10
Baguio Public,Mango (Carabao),133,Stable,2026-07-10
Davao Bankerohan,Mango (Carabao),139,Rising,2026-07-10
Iloilo Terminal,Mango (Carabao),119,Dipping,2026-07-10
Balintawak,Rice (Well Milled),52,Surging,2026-07-10
Divisoria,Rice (Well Milled),47,Stable,2026-07-10
Mega Q-Mart,Rice (Well Milled),55,Stable,2026-07-10
Muntinlupa,Rice (Well Milled),52,Dipping,2026-07-10
Cebu Carbon,Rice (Well Milled),61,Rising,2026-07-10
Baguio Public,Rice (Well Milled),53,Dipping,2026-07-10
Davao Bankerohan,Rice (Well Milled),61,Surging,2026-07-10
Iloilo Terminal,Rice (Well Milled),53,Dipping,2026-07-10
Balintawak,Eggplant,55,Rising,2026-07-10
Divisoria,Eggplant,53,Stable,2026-07-10
Mega Q-Mart,Eggplant,63,Stable,2026-07-10
Muntinlupa,Eggplant,68,Rising,2026-07-10
Cebu Carbon,Eggplant,64,Stable,2026-07-10
Baguio Public,Eggplant,65,Stable,2026-07-10
Davao Bankerohan,Eggplant,64,Stable,2026-07-10
Iloilo Terminal,Eggplant,66,Stable,2026-07-10
Balintawak,Squash,34,Stable,2026-07-10
Divisoria,Squash,37,Rising,2026-07-10
Mega Q-Mart,Squash,40,Dipping,2026-07-10
Muntinlupa,Squash,45,Rising,2026-07-10
Cebu Carbon,Squash,43,Stable,2026-07-10
Baguio Public,Squash,42,Stable,2026-07-10
Davao Bankerohan,Squash,39,Dipping,2026-07-10
Iloilo Terminal,Squash,45,Rising,2026-07-10
Balintawak,Ampalaya,63,Dipping,2026-07-10
Divisoria,Ampalaya,66,Stable,2026-07-10
Mega Q-Mart,Ampalaya,84,Rising,2026-07-10
Muntinlupa,Ampalaya,86,Rising,2026-07-10
Cebu Carbon,Ampalaya,76,Dipping,2026-07-10
Baguio Public,Ampalaya,80,Stable,2026-07-10
Davao Bankerohan,Ampalaya,87,Rising,2026-07-10
Iloilo Terminal,Ampalaya,89,Surging,2026-07-10
Balintawak,Pechay Baguio,55,Surging,2026-07-09
Divisoria,Pechay Baguio,54,Surging,2026-07-09
Mega Q-Mart,Pechay Baguio,64,Rising,2026-07-09
Muntinlupa,Pechay Baguio,56,Dipping,2026-07-09
Cebu Carbon,Pechay Baguio,67,Surging,2026-07-09
Baguio Public,Pechay Baguio,60,Stable,2026-07-09
Davao Bankerohan,Pechay Baguio,65,Rising,2026-07-09
Iloilo Terminal,Pechay Baguio,60,Stable,2026-07-09
Balintawak,Cabbage (Scorpio),41,Stable,2026-07-09
Divisoria,Cabbage (Scorpio),44,Surging,2026-07-09
Mega Q-Mart,Cabbage (Scorpio),53,Surging,2026-07-09
Muntinlupa,Cabbage (Scorpio),47,Stable,2026-07-09
Cebu Carbon,Cabbage (Scorpio),48,Stable,2026-07-09
Baguio Public,Cabbage (Scorpio),47,Stable,2026-07-09
Davao Bankerohan,Cabbage (Scorpio),50,Rising,2026-07-09
Iloilo Terminal,Cabbage (Scorpio),55,Surging,2026-07-09
Balintawak,Carrots,78,Dipping,2026-07-09
Divisoria,Carrots,81,Stable,2026-07-09
Mega Q-Mart,Carrots,118,Surging,2026-07-09
Muntinlupa,Carrots,111,Rising,2026-07-09
Cebu Carbon,Carrots,105,Stable,2026-07-09
Baguio Public,Carrots,120,Surging,2026-07-09
Davao Bankerohan,Carrots,111,Rising,2026-07-09
Iloilo Terminal,Carrots,110,Rising,2026-07-09
Balintawak,Broccoli,145,Rising,2026-07-09
Divisoria,Broccoli,134,Stable,2026-07-09
Mega Q-Mart,Broccoli,176,Rising,2026-07-09
Muntinlupa,Broccoli,161,Stable,2026-07-09
Cebu Carbon,Broccoli,181,Surging,2026-07-09
Baguio Public,Broccoli,160,Stable,2026-07-09
Davao Bankerohan,Broccoli,182,Surging,2026-07-09
Iloilo Terminal,Broccoli,177,Rising,2026-07-09
Balintawak,Tomato,71,Rising,2026-07-09
Divisoria,Tomato,62,Dipping,2026-07-09
Mega Q-Mart,Tomato,90,Surging,2026-07-09
Muntinlupa,Tomato,90,Surging,2026-07-09
Cebu Carbon,Tomato,80,Stable,2026-07-09
Baguio Public,Tomato,92,Surging,2026-07-09
Davao Bankerohan,Tomato,80,Stable,2026-07-09
Iloilo Terminal,Tomato,91,Surging,2026-07-09
Balintawak,White Potato,70,Dipping,2026-07-09
Divisoria,White Potato,86,Surging,2026-07-09
Mega Q-Mart,White Potato,95,Stable,2026-07-09
Muntinlupa,White Potato,89,Stable,2026-07-09
Cebu Carbon,White Potato,88,Dipping,2026-07-09
Baguio Public,White Potato,88,Dipping,2026-07-09
Davao Bankerohan,White Potato,105,Surging,2026-07-09
Iloilo Terminal,White Potato,102,Surging,2026-07-09
Balintawak,Bell Pepper (Green),143,Dipping,2026-07-09
Divisoria,Bell Pepper (Green),143,Dipping,2026-07-09
Mega Q-Mart,Bell Pepper (Green),185,Stable,2026-07-09
Muntinlupa,Bell Pepper (Green),207,Surging,2026-07-09
Cebu Carbon,Bell Pepper (Green),178,Stable,2026-07-09
Baguio Public,Bell Pepper (Green),207,Surging,2026-07-09
Davao Bankerohan,Bell Pepper (Green),206,Surging,2026-07-09
Iloilo Terminal,Bell Pepper (Green),203,Surging,2026-07-09
Balintawak,Cauliflower,120,Stable,2026-07-09
Divisoria,Cauliflower,132,Rising,2026-07-09
Mega Q-Mart,Cauliflower,139,Dipping,2026-07-09
Muntinlupa,Cauliflower,154,Stable,2026-07-09
Cebu Carbon,Cauliflower,140,Dipping,2026-07-09
Baguio Public,Cauliflower,153,Stable,2026-07-09
Davao Bankerohan,Cauliflower,142,Dipping,2026-07-09
Iloilo Terminal,Cauliflower,166,Surging,2026-07-09
Balintawak,Lettuce (Romaine),95,Stable,2026-07-09
Divisoria,Lettuce (Romaine),111,Surging,2026-07-09
Mega Q-Mart,Lettuce (Romaine),117,Stable,2026-07-09
Muntinlupa,Lettuce (Romaine),133,Surging,2026-07-09
Cebu Carbon,Lettuce (Romaine),136,Surging,2026-07-09
Baguio Public,Lettuce (Romaine),120,Stable,2026-07-09
Davao Bankerohan,Lettuce (Romaine),114,Dipping,2026-07-09
Iloilo Terminal,Lettuce (Romaine),137,Surging,2026-07-09
Balintawak,Mango (Carabao),111,Rising,2026-07-09
Divisoria,Mango (Carabao),112,Rising,2026-07-09
Mega Q-Mart,Mango (Carabao),132,Stable,2026-07-09
Muntinlupa,Mango (Carabao),144,Surging,2026-07-09
Cebu Carbon,Mango (Carabao),148,Surging,2026-07-09
Baguio Public,Mango (Carabao),122,Dipping,2026-07-09
Davao Bankerohan,Mango (Carabao),122,Dipping,2026-07-09
Iloilo Terminal,Mango (Carabao),149,Surging,2026-07-09
Balintawak,Rice (Well Milled),46,Stable,2026-07-09
Divisoria,Rice (Well Milled),47,Stable,2026-07-09
Mega Q-Mart,Rice (Well Milled),59,Rising,2026-07-09
Muntinlupa,Rice (Well Milled),64,Surging,2026-07-09
Cebu Carbon,Rice (Well Milled),55,Stable,2026-07-09
Baguio Public,Rice (Well Milled),57,Stable,2026-07-09
Davao Bankerohan,Rice (Well Milled),62,Surging,2026-07-09
Iloilo Terminal,Rice (Well Milled),58,Stable,2026-07-09
Balintawak,Eggplant,55,Rising,2026-07-09
Divisoria,Eggplant,61,Surging,2026-07-09
Mega Q-Mart,Eggplant,63,Stable,2026-07-09
Muntinlupa,Eggplant,73,Surging,2026-07-09
Cebu Carbon,Eggplant,64,Stable,2026-07-09
Baguio Public,Eggplant,75,Surging,2026-07-09
Davao Bankerohan,Eggplant,65,Stable,2026-07-09
Iloilo Terminal,Eggplant,59,Dipping,2026-07-09
Balintawak,Squash,36,Stable,2026-07-09
Divisoria,Squash,37,Rising,2026-07-09
Mega Q-Mart,Squash,50,Surging,2026-07-09
Muntinlupa,Squash,39,Dipping,2026-07-09
Cebu Carbon,Squash,40,Dipping,2026-07-09
Baguio Public,Squash,48,Surging,2026-07-09
Davao Bankerohan,Squash,43,Stable,2026-07-09
Iloilo Terminal,Squash,48,Surging,2026-07-09
Balintawak,Ampalaya,68,Stable,2026-07-09
Divisoria,Ampalaya,76,Surging,2026-07-09
Mega Q-Mart,Ampalaya,76,Dipping,2026-07-09
Muntinlupa,Ampalaya,93,Surging,2026-07-09
Cebu Carbon,Ampalaya,89,Surging,2026-07-09
Baguio Public,Ampalaya,89,Surging,2026-07-09
Davao Bankerohan,Ampalaya,81,Stable,2026-07-09
Iloilo Terminal,Ampalaya,85,Rising,2026-07-09
Balintawak,Pechay Baguio,45,Dipping,2026-07-08
Divisoria,Pechay Baguio,47,Stable,2026-07-08
Mega Q-Mart,Pechay Baguio,59,Stable,2026-07-08
Muntinlupa,Pechay Baguio,60,Stable,2026-07-08
Cebu Carbon,Pechay Baguio,64,Rising,2026-07-08
Baguio Public,Pechay Baguio,59,Stable,2026-07-08
Davao Bankerohan,Pechay Baguio,67,Surging,2026-07-08
Iloilo Terminal,Pechay Baguio,61,Stable,2026-07-08
Balintawak,Cabbage (Scorpio),45,Surging,2026-07-08
Divisoria,Cabbage (Scorpio),44,Surging,2026-07-08
Mega Q-Mart,Cabbage (Scorpio),54,Surging,2026-07-08
Muntinlupa,Cabbage (Scorpio),47,Stable,2026-07-08
Cebu Carbon,Cabbage (Scorpio),53,Surging,2026-07-08
Baguio Public,Cabbage (Scorpio),55,Surging,2026-07-08
Davao Bankerohan,Cabbage (Scorpio),46,Dipping,2026-07-08
Iloilo Terminal,Cabbage (Scorpio),52,Rising,2026-07-08
Balintawak,Carrots,85,Stable,2026-07-08
Divisoria,Carrots,91,Rising,2026-07-08
Mega Q-Mart,Carrots,118,Surging,2026-07-08
Muntinlupa,Carrots,111,Rising,2026-07-08
Cebu Carbon,Carrots,118,Surging,2026-07-08
Baguio Public,Carrots,94,Dipping,2026-07-08
Davao Bankerohan,Carrots,117,Surging,2026-07-08
Iloilo Terminal,Carrots,98,Dipping,2026-07-08
Balintawak,Broccoli,143,Rising,2026-07-08
Divisoria,Broccoli,134,Stable,2026-07-08
Mega Q-Mart,Broccoli,182,Surging,2026-07-08
Muntinlupa,Broccoli,175,Rising,2026-07-08
Cebu Carbon,Broccoli,153,Dipping,2026-07-08
Baguio Public,Broccoli,165,Stable,2026-07-08
Davao Bankerohan,Broccoli,184,Surging,2026-07-08
Iloilo Terminal,Broccoli,185,Surging,2026-07-08
Balintawak,Tomato,77,Surging,2026-07-08
Divisoria,Tomato,74,Surging,2026-07-08
Mega Q-Mart,Tomato,94,Surging,2026-07-08
Muntinlupa,Tomato,90,Surging,2026-07-08
Cebu Carbon,Tomato,92,Surging,2026-07-08
Baguio Public,Tomato,86,Rising,2026-07-08
Davao Bankerohan,Tomato,80,Stable,2026-07-08
Iloilo Terminal,Tomato,76,Dipping,2026-07-08
Balintawak,White Potato,72,Stable,2026-07-08
Divisoria,White Potato,72,Dipping,2026-07-08
Mega Q-Mart,White Potato,103,Surging,2026-07-08
Muntinlupa,White Potato,97,Rising,2026-07-08
Cebu Carbon,White Potato,92,Stable,2026-07-08
Baguio Public,White Potato,106,Surging,2026-07-08
Davao Bankerohan,White Potato,95,Stable,2026-07-08
Iloilo Terminal,White Potato,102,Surging,2026-07-08
Balintawak,Bell Pepper (Green),166,Surging,2026-07-08
Divisoria,Bell Pepper (Green),157,Rising,2026-07-08
Mega Q-Mart,Bell Pepper (Green),172,Dipping,2026-07-08
Muntinlupa,Bell Pepper (Green),191,Rising,2026-07-08
Cebu Carbon,Bell Pepper (Green),200,Rising,2026-07-08
Baguio Public,Bell Pepper (Green),215,Surging,2026-07-08
Davao Bankerohan,Bell Pepper (Green),214,Surging,2026-07-08
Iloilo Terminal,Bell Pepper (Green),180,Stable,2026-07-08
Balintawak,Cauliflower,122,Stable,2026-07-08
Divisoria,Cauliflower,140,Surging,2026-07-08
Mega Q-Mart,Cauliflower,148,Stable,2026-07-08
Muntinlupa,Cauliflower,156,Stable,2026-07-08
Cebu Carbon,Cauliflower,138,Dipping,2026-07-08
Baguio Public,Cauliflower,171,Surging,2026-07-08
Davao Bankerohan,Cauliflower,168,Surging,2026-07-08
Iloilo Terminal,Cauliflower,153,Stable,2026-07-08
Balintawak,Lettuce (Romaine),96,Stable,2026-07-08
Divisoria,Lettuce (Romaine),92,Dipping,2026-07-08
Mega Q-Mart,Lettuce (Romaine),138,Surging,2026-07-08
Muntinlupa,Lettuce (Romaine),118,Stable,2026-07-08
Cebu Carbon,Lettuce (Romaine),118,Stable,2026-07-08
Baguio Public,Lettuce (Romaine),115,Stable,2026-07-08
Davao Bankerohan,Lettuce (Romaine),123,Stable,2026-07-08
Iloilo Terminal,Lettuce (Romaine),126,Rising,2026-07-08
Balintawak,Mango (Carabao),115,Rising,2026-07-08
Divisoria,Mango (Carabao),116,Rising,2026-07-08
Mega Q-Mart,Mango (Carabao),134,Rising,2026-07-08
Muntinlupa,Mango (Carabao),121,Dipping,2026-07-08
Cebu Carbon,Mango (Carabao),126,Stable,2026-07-08
Baguio Public,Mango (Carabao),120,Dipping,2026-07-08
Davao Bankerohan,Mango (Carabao),151,Surging,2026-07-08
Iloilo Terminal,Mango (Carabao),132,Stable,2026-07-08
Balintawak,Rice (Well Milled),45,Stable,2026-07-08
Divisoria,Rice (Well Milled),43,Dipping,2026-07-08
Mega Q-Mart,Rice (Well Milled),53,Dipping,2026-07-08
Muntinlupa,Rice (Well Milled),53,Dipping,2026-07-08
Cebu Carbon,Rice (Well Milled),64,Surging,2026-07-08
Baguio Public,Rice (Well Milled),55,Stable,2026-07-08
Davao Bankerohan,Rice (Well Milled),52,Dipping,2026-07-08
Iloilo Terminal,Rice (Well Milled),62,Surging,2026-07-08
Balintawak,Eggplant,57,Rising,2026-07-08
Divisoria,Eggplant,49,Dipping,2026-07-08
Mega Q-Mart,Eggplant,61,Dipping,2026-07-08
Muntinlupa,Eggplant,73,Surging,2026-07-08
Cebu Carbon,Eggplant,66,Stable,2026-07-08
Baguio Public,Eggplant,61,Dipping,2026-07-08
Davao Bankerohan,Eggplant,63,Stable,2026-07-08
Iloilo Terminal,Eggplant,74,Surging,2026-07-08
Balintawak,Squash,34,Stable,2026-07-08
Divisoria,Squash,39,Surging,2026-07-08
Mega Q-Mart,Squash,43,Stable,2026-07-08
Muntinlupa,Squash,49,Surging,2026-07-08
Cebu Carbon,Squash,45,Rising,2026-07-08
Baguio Public,Squash,50,Surging,2026-07-08
Davao Bankerohan,Squash,47,Surging,2026-07-08
Iloilo Terminal,Squash,48,Surging,2026-07-08
Balintawak,Ampalaya,67,Stable,2026-07-08
Divisoria,Ampalaya,63,Dipping,2026-07-08
Mega Q-Mart,Ampalaya,76,Dipping,2026-07-08
Muntinlupa,Ampalaya,93,Surging,2026-07-08
Cebu Carbon,Ampalaya,76,Dipping,2026-07-08
Baguio Public,Ampalaya,91,Surging,2026-07-08
Davao Bankerohan,Ampalaya,75,Dipping,2026-07-08
Iloilo Terminal,Ampalaya,82,Stable,2026-07-08
Balintawak,Pechay Baguio,46,Dipping,2026-07-07
Divisoria,Pechay Baguio,48,Stable,2026-07-07
Mega Q-Mart,Pechay Baguio,60,Stable,2026-07-07
Muntinlupa,Pechay Baguio,61,Rising,2026-07-07
Cebu Carbon,Pechay Baguio,65,Surging,2026-07-07
Baguio Public,Pechay Baguio,63,Rising,2026-07-07
Davao Bankerohan,Pechay Baguio,69,Surging,2026-07-07
Iloilo Terminal,Pechay Baguio,62,Rising,2026-07-07
Balintawak,Cabbage (Scorpio),45,Surging,2026-07-07
Divisoria,Cabbage (Scorpio),45,Surging,2026-07-07
Mega Q-Mart,Cabbage (Scorpio),55,Surging,2026-07-07
Muntinlupa,Cabbage (Scorpio),56,Surging,2026-07-07
Cebu Carbon,Cabbage (Scorpio),50,Rising,2026-07-07
Baguio Public,Cabbage (Scorpio),47,Stable,2026-07-07
Davao Bankerohan,Cabbage (Scorpio),50,Rising,2026-07-07
Iloilo Terminal,Cabbage (Scorpio),55,Surging,2026-07-07
Balintawak,Carrots,95,Surging,2026-07-07
Divisoria,Carrots,79,Dipping,2026-07-07
Mega Q-Mart,Carrots,113,Surging,2026-07-07
Muntinlupa,Carrots,103,Stable,2026-07-07
Cebu Carbon,Carrots,105,Stable,2026-07-07
Baguio Public,Carrots,113,Surging,2026-07-07
Davao Bankerohan,Carrots,97,Dipping,2026-07-07
Iloilo Terminal,Carrots,105,Stable,2026-07-07
Balintawak,Broccoli,140,Rising,2026-07-07
Divisoria,Broccoli,141,Rising,2026-07-07
Mega Q-Mart,Broccoli,150,Dipping,2026-07-07
Muntinlupa,Broccoli,170,Rising,2026-07-07
Cebu Carbon,Broccoli,161,Stable,2026-07-07
